motif	cluster	gene_symbol
Npas4_MA1995.2	C_Npas4	Npas4
NR1D1_MA1531.2	C_NR1D2	Nr1d1
NR1D2_MA1532.2	C_NR1D2	Nr1d2
Nr1H2_MA1996.2	C_Nr1h3	Nr1h2
NR1H2RXRA_MA0115.1	C_NR1H2::RXRA	Nr1h2::Rxra
Nr1h3_MA2337.1	C_Nr1h3	Nr1h3
Nr1h3Rxra_MA0494.2	C_Nr1h3::Rxra	Nr1h3::Rxra
Nr1H4_MA1110.3	C_Nr1h3	Nr1h4
NR1H4RXRA_MA1146.2	C_NR1H4::RXRA	Nr1h4::Rxra
NR1I2_MA1533.2	C_NR1I2	Nr1i2
NR1I3_MA1534.2	C_NR1I3	Nr1i3
NR2C1_MA1535.2	C_Nr1h3	Nr2c1
NR2C2_MA0504.2	C_Nr2f6	Nr2c2
NR2C2_MA1536.2	C_Nr1h3	Nr2c2
Nr2e1_MA0676.1	C_Nr2e1	Nr2e1
Nr2e3_MA0164.2	C_Nr2e3	Nr2e3
NR2F1_MA0017.3	C_NR2F1	Nr2f1
NR2F1_MA1537.2	C_Nr2f6	Nr2f1
NR2F1_MA1538.1	C_NR2F1	Nr2f1
NR2F2_MA1111.2	C_Nr1h3	Nr2f2
Nr2f6_MA0677.2	C_Nr2f6	Nr2f6
Nr2F6_MA0728.1	C_Rarb	Nr2f6
NR2F6_MA1539.1	C_NR2F1	Nr2f6
NR3C1_MA0113.4	C_Pgr	Nr3c1
